Périmètre;Nature;Date;Heures;Consommation
Grand Lyon;Données temps réel;21/04/2017;14:45;1082
Grand Lyon;Données temps réel;21/04/2017;15:00;1073
Grand Lyon;Données temps réel;21/04/2017;15:15;1075
Grand Lyon;Données temps réel;21/04/2017;15:30;1059
Grand Lyon;Données temps réel;21/04/2017;15:45;1041
Grand Lyon;Données temps réel;21/04/2017;16:00;1030
Grand Lyon;Données temps réel;21/04/2017;16:15;1020
Grand Lyon;Données temps réel;21/04/2017;16:30;1016
Grand Lyon;Données temps réel;21/04/2017;16:45;1009
Grand Lyon;Données temps réel;21/04/2017;17:00;1009
Grand Lyon;Données temps réel;21/04/2017;17:15;1019
Grand Lyon;Données temps réel;21/04/2017;17:30;995
Grand Lyon;Données temps réel;21/04/2017;17:45;1003
Grand Lyon;Données temps réel;21/04/2017;18:00;1001
Grand Lyon;Données temps réel;21/04/2017;18:15;1007
Grand Lyon;Données temps réel;21/04/2017;18:30;988
Grand Lyon;Données temps réel;21/04/2017;18:45;994
Grand Lyon;Données temps réel;21/04/2017;19:00;1007
Grand Lyon;Données temps réel;21/04/2017;19:15;992
Grand Lyon;Données temps réel;21/04/2017;19:30;1002
Grand Lyon;Données temps réel;21/04/2017;19:45;1001
Grand Lyon;Données temps réel;21/04/2017;20:00;992
Grand Lyon;Données temps réel;21/04/2017;20:15;997
Grand Lyon;Données temps réel;21/04/2017;20:30;982
Grand Lyon;Données temps réel;21/04/2017;20:45;1009
Grand Lyon;Données temps réel;21/04/2017;21:00;1028
Grand Lyon;Données temps réel;21/04/2017;21:15;1014
Grand Lyon;Données temps réel;21/04/2017;21:30;1001
Grand Lyon;Données temps réel;21/04/2017;21:45;976
Grand Lyon;Données temps réel;21/04/2017;22:00;976
Grand Lyon;Données temps réel;21/04/2017;22:15;1003
Grand Lyon;Données temps réel;21/04/2017;22:30;1016
Grand Lyon;Données temps réel;21/04/2017;22:45;1090
Grand Lyon;Données temps réel;21/04/2017;23:00;1085
Grand Lyon;Données temps réel;21/04/2017;23:15;ND
Grand Lyon;Données temps réel;21/04/2017;23:30;ND
Grand Lyon;Données temps réel;21/04/2017;23:45;ND
Grand Lyon;Données temps réel;22/04/2017;00:00;1037
Grand Lyon;Données temps réel;22/04/2017;00:15;1014
Grand Lyon;Données temps réel;22/04/2017;00:30;976
Grand Lyon;Données temps réel;22/04/2017;00:45;950
Grand Lyon;Données temps réel;22/04/2017;01:00;919
Grand Lyon;Données temps réel;22/04/2017;01:15;897
Grand Lyon;Données temps réel;22/04/2017;01:30;888
Grand Lyon;Données temps réel;22/04/2017;01:45;876
Grand Lyon;Données temps réel;22/04/2017;02:00;876
Grand Lyon;Données temps réel;22/04/2017;02:15;858
Grand Lyon;Données temps réel;22/04/2017;02:30;844
Grand Lyon;Données temps réel;22/04/2017;02:45;847
Grand Lyon;Données temps réel;22/04/2017;03:00;846
Grand Lyon;Données temps réel;22/04/2017;03:15;823
Grand Lyon;Données temps réel;22/04/2017;03:30;827
Grand Lyon;Données temps réel;22/04/2017;03:45;822
Grand Lyon;Données temps réel;22/04/2017;04:00;825
Grand Lyon;Données temps réel;22/04/2017;04:15;827
Grand Lyon;Données temps réel;22/04/2017;04:30;830
Grand Lyon;Données temps réel;22/04/2017;04:45;830
Grand Lyon;Données temps réel;22/04/2017;05:00;845
Grand Lyon;Données temps réel;22/04/2017;05:15;848
Grand Lyon;Données temps réel;22/04/2017;05:30;850
Grand Lyon;Données temps réel;22/04/2017;05:45;859
Grand Lyon;Données temps réel;22/04/2017;06:00;862
Grand Lyon;Données temps réel;22/04/2017;06:15;866
Grand Lyon;Données temps réel;22/04/2017;06:30;856
Grand Lyon;Données temps réel;22/04/2017;06:45;851
Grand Lyon;Données temps réel;22/04/2017;07:00;864
Grand Lyon;Données temps réel;22/04/2017;07:15;862
Grand Lyon;Données temps réel;22/04/2017;07:30;873
Grand Lyon;Données temps réel;22/04/2017;07:45;873
Grand Lyon;Données temps réel;22/04/2017;08:00;895
Grand Lyon;Données temps réel;22/04/2017;08:15;905
Grand Lyon;Données temps réel;22/04/2017;08:30;920
Grand Lyon;Données temps réel;22/04/2017;08:45;918
Grand Lyon;Données temps réel;22/04/2017;09:00;947
Grand Lyon;Données temps réel;22/04/2017;09:15;957
Grand Lyon;Données temps réel;22/04/2017;09:30;964
Grand Lyon;Données temps réel;22/04/2017;09:45;964
Grand Lyon;Données temps réel;22/04/2017;10:00;970
Grand Lyon;Données temps réel;22/04/2017;10:15;987
Grand Lyon;Données temps réel;22/04/2017;10:30;977
Grand Lyon;Données temps réel;22/04/2017;10:45;979
Grand Lyon;Données temps réel;22/04/2017;11:00;967
Grand Lyon;Données temps réel;22/04/2017;11:15;975
Grand Lyon;Données temps réel;22/04/2017;11:30;975
Grand Lyon;Données temps réel;22/04/2017;11:45;995
Grand Lyon;Données temps réel;22/04/2017;12:00;1003
Grand Lyon;Données temps réel;22/04/2017;12:15;991
Grand Lyon;Données temps réel;22/04/2017;12:30;969
Grand Lyon;Données temps réel;22/04/2017;12:45;985
Grand Lyon;Données temps réel;22/04/2017;13:00;967
Grand Lyon;Données temps réel;22/04/2017;13:15;960
Grand Lyon;Données temps réel;22/04/2017;13:30;945
Grand Lyon;Données temps réel;22/04/2017;13:45;931
Grand Lyon;Données temps réel;22/04/2017;14:00;932
Grand Lyon;Données temps réel;22/04/2017;14:15;919
Grand Lyon;Données temps réel;22/04/2017;14:30;904
Grand Lyon;Données temps réel;22/04/2017;14:45;904
Grand Lyon;Données temps réel;22/04/2017;15:00;899
Grand Lyon;Données temps réel;22/04/2017;15:15;901
Grand Lyon;Données temps réel;22/04/2017;15:30;886
Grand Lyon;Données temps réel;22/04/2017;15:45;869
Grand Lyon;Données temps réel;22/04/2017;16:00;870
Grand Lyon;Données temps réel;22/04/2017;16:15;864
Grand Lyon;Données temps réel;22/04/2017;16:30;860
Grand Lyon;Données temps réel;22/04/2017;16:45;861
Grand Lyon;Données temps réel;22/04/2017;17:00;855
Grand Lyon;Données temps réel;22/04/2017;17:15;865
Grand Lyon;Données temps réel;22/04/2017;17:30;877
Grand Lyon;Données temps réel;22/04/2017;17:45;876
Grand Lyon;Données temps réel;22/04/2017;18:00;868
Grand Lyon;Données temps réel;22/04/2017;18:15;875
Grand Lyon;Données temps réel;22/04/2017;18:30;864
Grand Lyon;Données temps réel;22/04/2017;18:45;880
Grand Lyon;Données temps réel;22/04/2017;19:00;890
Grand Lyon;Données temps réel;22/04/2017;19:15;894
Grand Lyon;Données temps réel;22/04/2017;19:30;908
Grand Lyon;Données temps réel;22/04/2017;19:45;905
Grand Lyon;Données temps réel;22/04/2017;20:00;909
Grand Lyon;Données temps réel;22/04/2017;20:15;906
Grand Lyon;Données temps réel;22/04/2017;20:30;908
Grand Lyon;Données temps réel;22/04/2017;20:45;917
Grand Lyon;Données temps réel;22/04/2017;21:00;939
Grand Lyon;Données temps réel;22/04/2017;21:15;920
Grand Lyon;Données temps réel;22/04/2017;21:30;913
Grand Lyon;Données temps réel;22/04/2017;21:45;901
Grand Lyon;Données temps réel;22/04/2017;22:00;907
Grand Lyon;Données temps réel;22/04/2017;22:15;913
Grand Lyon;Données temps réel;22/04/2017;22:30;923
Grand Lyon;Données temps réel;22/04/2017;22:45;1022
Grand Lyon;Données temps réel;22/04/2017;23:00;1023
Grand Lyon;Données temps réel;22/04/2017;23:15;1073
Grand Lyon;Données temps réel;22/04/2017;23:30;1039
Grand Lyon;Données temps réel;22/04/2017;23:45;1003
Grand Lyon;Données temps réel;23/04/2017;00:00;973
Grand Lyon;Données temps réel;23/04/2017;00:15;947
Grand Lyon;Données temps réel;23/04/2017;00:30;920
Grand Lyon;Données temps réel;23/04/2017;00:45;889
Grand Lyon;Données temps réel;23/04/2017;01:00;855
Grand Lyon;Données temps réel;23/04/2017;01:15;834
Grand Lyon;Données temps réel;23/04/2017;01:30;828
Grand Lyon;Données temps réel;23/04/2017;01:45;813
Grand Lyon;Données temps réel;23/04/2017;02:00;795
Grand Lyon;Données temps réel;23/04/2017;02:15;782
Grand Lyon;Données temps réel;23/04/2017;02:30;777
Grand Lyon;Données temps réel;23/04/2017;02:45;777
Grand Lyon;Données temps réel;23/04/2017;03:00;762
Grand Lyon;Données temps réel;23/04/2017;03:15;755
Grand Lyon;Données temps réel;23/04/2017;03:30;748
Grand Lyon;Données temps réel;23/04/2017;03:45;739
Grand Lyon;Données temps réel;23/04/2017;04:00;749
Grand Lyon;Données temps réel;23/04/2017;04:15;734
Grand Lyon;Données temps réel;23/04/2017;04:30;745
Grand Lyon;Données temps réel;23/04/2017;04:45;740
Grand Lyon;Données temps réel;23/04/2017;05:00;761
Grand Lyon;Données temps réel;23/04/2017;05:15;753
Grand Lyon;Données temps réel;23/04/2017;05:30;765
Grand Lyon;Données temps réel;23/04/2017;05:45;749
Grand Lyon;Données temps réel;23/04/2017;06:00;758
Grand Lyon;Données temps réel;23/04/2017;06:15;776
Grand Lyon;Données temps réel;23/04/2017;06:30;744
Grand Lyon;Données temps réel;23/04/2017;06:45;733
Grand Lyon;Données temps réel;23/04/2017;07:00;741
Grand Lyon;Données temps réel;23/04/2017;07:15;750
Grand Lyon;Données temps réel;23/04/2017;07:30;760
Grand Lyon;Données temps réel;23/04/2017;07:45;773
Grand Lyon;Données temps réel;23/04/2017;08:00;772
Grand Lyon;Données temps réel;23/04/2017;08:15;787
Grand Lyon;Données temps réel;23/04/2017;08:30;801
Grand Lyon;Données temps réel;23/04/2017;08:45;813
Grand Lyon;Données temps réel;23/04/2017;09:00;821
Grand Lyon;Données temps réel;23/04/2017;09:15;819
Grand Lyon;Données temps réel;23/04/2017;09:30;836
Grand Lyon;Données temps réel;23/04/2017;09:45;851
Grand Lyon;Données temps réel;23/04/2017;10:00;850
Grand Lyon;Données temps réel;23/04/2017;10:15;867
Grand Lyon;Données temps réel;23/04/2017;10:30;870
Grand Lyon;Données temps réel;23/04/2017;10:45;876
Grand Lyon;Données temps réel;23/04/2017;11:00;882
Grand Lyon;Données temps réel;23/04/2017;11:15;884
Grand Lyon;Données temps réel;23/04/2017;11:30;895
Grand Lyon;Données temps réel;23/04/2017;11:45;899
Grand Lyon;Données temps réel;23/04/2017;12:00;891
Grand Lyon;Données temps réel;23/04/2017;12:15;910
Grand Lyon;Données temps réel;23/04/2017;12:30;898
Grand Lyon;Données temps réel;23/04/2017;12:45;907
Grand Lyon;Données temps réel;23/04/2017;13:00;885
Grand Lyon;Données temps réel;23/04/2017;13:15;885
Grand Lyon;Données temps réel;23/04/2017;13:30;868
Grand Lyon;Données temps réel;23/04/2017;13:45;864
Grand Lyon;Données temps réel;23/04/2017;14:00;837
Grand Lyon;Données temps réel;23/04/2017;14:15;850
Grand Lyon;Données temps réel;23/04/2017;14:30;822
Grand Lyon;Données temps réel;23/04/2017;14:45;816
Grand Lyon;Données temps réel;23/04/2017;15:00;820
Grand Lyon;Données temps réel;23/04/2017;15:15;818
Grand Lyon;Données temps réel;23/04/2017;15:30;816
Grand Lyon;Données temps réel;23/04/2017;15:45;815
Grand Lyon;Données temps réel;23/04/2017;16:00;802
Grand Lyon;Données temps réel;23/04/2017;16:15;808
Grand Lyon;Données temps réel;23/04/2017;16:30;790
Grand Lyon;Données temps réel;23/04/2017;16:45;794
Grand Lyon;Données temps réel;23/04/2017;17:00;796
Grand Lyon;Données temps réel;23/04/2017;17:15;802
Grand Lyon;Données temps réel;23/04/2017;17:30;803
Grand Lyon;Données temps réel;23/04/2017;17:45;801
Grand Lyon;Données temps réel;23/04/2017;18:00;807
Grand Lyon;Données temps réel;23/04/2017;18:15;818
Grand Lyon;Données temps réel;23/04/2017;18:30;822
Grand Lyon;Données temps réel;23/04/2017;18:45;852
Grand Lyon;Données temps réel;23/04/2017;19:00;850
Grand Lyon;Données temps réel;23/04/2017;19:15;869
Grand Lyon;Données temps réel;23/04/2017;19:30;888
Grand Lyon;Données temps réel;23/04/2017;19:45;893
Grand Lyon;Données temps réel;23/04/2017;20:00;885
Grand Lyon;Données temps réel;23/04/2017;20:15;881
Grand Lyon;Données temps réel;23/04/2017;20:30;889
Grand Lyon;Données temps réel;23/04/2017;20:45;913
Grand Lyon;Données temps réel;23/04/2017;21:00;934
Grand Lyon;Données temps réel;23/04/2017;21:15;946
Grand Lyon;Données temps réel;23/04/2017;21:30;926
Grand Lyon;Données temps réel;23/04/2017;21:45;917
Grand Lyon;Données temps réel;23/04/2017;22:00;930
Grand Lyon;Données temps réel;23/04/2017;22:15;922
Grand Lyon;Données temps réel;23/04/2017;22:30;933
Grand Lyon;Données temps réel;23/04/2017;22:45;1023
Grand Lyon;Données temps réel;23/04/2017;23:00;1020
Grand Lyon;Données temps réel;23/04/2017;23:15;1075
Grand Lyon;Données temps réel;23/04/2017;23:30;1045
Grand Lyon;Données temps réel;23/04/2017;23:45;1007
Grand Lyon;Données temps réel;24/04/2017;00:00;985
Grand Lyon;Données temps réel;24/04/2017;00:15;948
Grand Lyon;Données temps réel;24/04/2017;00:30;912
Grand Lyon;Données temps réel;24/04/2017;00:45;890
Grand Lyon;Données temps réel;24/04/2017;01:00;861
Grand Lyon;Données temps réel;24/04/2017;01:15;829
Grand Lyon;Données temps réel;24/04/2017;01:30;817
Grand Lyon;Données temps réel;24/04/2017;01:45;813
Grand Lyon;Données temps réel;24/04/2017;02:00;801
Grand Lyon;Données temps réel;24/04/2017;02:15;804
